"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"190","NZ325",2021-06-09 13:40:00,"EMP",56,18.81,7.97,37576,8.06,1,12.7
"191","NZ002",2021-06-09 13:55:00,"EMP",52,18.39,7.94,36266,8.07,1,35.4
"192","NZ004",2021-06-09 14:10:00,"EMP",56,18.26,8.02,31896,8.06,1,14.2
"193","SHR",2021-06-21 08:58:00,"AEU",150,24.5,7.81,124,7.71,1,3.5
"194","LIS",2021-06-22 12:55:00,"AEU",34,25.5,7.66,272,8.03,1,26.9
"195","STTD",2021-06-22 09:17:00,"AEU",50,22.6,7.43,210,8.45,1,16.4
"196","LIS",2021-07-06 11:00:00,"AEU",40,23.7,7.65,262,8.25,1,18.2
"197","STTD",2021-07-06 09:03:00,"AEU",60,21.5,7.68,245,8.84,1,12
"198","SHR",2021-07-07 09:35:00,"AEU",110,24.1,7.85,129,7.69,1,5
"199","C3A",2021-07-14 07:30:00,"EMP",NA,24.88,7.6,138,7.72,1,1.7
"200","C9",2021-07-14 09:15:00,"EMP",NA,25.16,6.24,699,7.49,3,3.6
"201","C10A",2021-07-14 10:30:00,"EMP",NA,19.05,9.27,92,7.46,1,3.2
"202","D12",2021-07-15 07:45:00,"EMP",100,21.19,8.34,7673,7.91,4,4.7
"203","D16",2021-07-15 09:50:00,"EMP",120,22.63,8.39,1850,8.05,4,5.3
"204","D19",2021-07-15 10:50:00,"EMP",192,23.52,8.66,723,8.71,3,2.4
"205","D28A",2021-07-15 11:40:00,"EMP",168,25.04,6.77,687,7.53,4,3.3
"206","D26",2021-07-16 07:55:00,"EMP",120,23.69,7.97,605,8.06,3,5.7
"207","MD10A",2021-07-16 09:00:00,"EMP",168,25.51,6.16,465,7.39,3,2.5
"208","P8",2021-07-16 10:20:00,"EMP",172,26.12,7.15,358,7.35,3,2.4
"209","D4",2021-07-19 12:00:00,"EMP",112,22.15,8.34,9929,7.9,3,7
"210","D22",2021-07-19 13:10:00,"EMP",48,22.04,8.44,4723,7.93,3,17.1
"211","NZ068",2021-07-19 14:30:00,"EMP",100,24.51,8.4,821,7.98,2,5
"212","LIS",2021-07-19 11:42:00,"AEU",39,24.4,7.65,298,8.47,1,19.4
"213","STTD",2021-07-19 09:40:00,"AEU",51,23.5,8.47,248,9.05,1,11.4
"214","D8",2021-07-20 12:05:00,"EMP",100,21.55,8.5,16701,7.92,3,5.9
"215","D10",2021-07-20 12:50:00,"EMP",64,21.63,8.57,14284,8.01,3,12
"216","SHR",2021-07-20 09:18:00,"AEU",100,23.7,8.11,134,7.93,1,5.6
"217","D6",2021-07-21 12:35:00,"EMP",52,20.31,7.88,30267,7.91,1,17.7
"218","D7",2021-07-21 13:30:00,"EMP",48,21.06,8.14,24163,7.97,1,15.9
"219","NZS42",2021-07-21 14:25:00,"EMP",44,22.58,7.8,19561,7.79,1,17
"220","NZ032",2021-07-21 15:15:00,"EMP",52,22.41,7.96,20536,7.87,1,11.9
"221","D41A",2021-07-22 11:00:00,"EMP",12,18.95,7.59,41913,8.02,1,111.3
"222","D41",2021-07-22 12:45:00,"EMP",36,19.09,7.57,45225,8.04,1,27
"223","NZ325",2021-07-22 13:35:00,"EMP",48,20.19,7.66,38933,8.01,1,14.8
"224","NZ002",2021-07-22 13:50:00,"EMP",72,20.01,7.79,38063,8.03,1,13.2
"225","NZ004",2021-07-22 14:05:00,"EMP",64,20,7.93,34690,8.05,1,11.8
"226","LIS",2021-08-02 10:16:00,"AEU",38,23.2,7.79,310,7.99,3,17
"227","SHR",2021-08-03 08:50:00,"AEU",200,23.6,8.13,138,7.78,1,5.6
"228","STTD",2021-08-03 10:55:00,"AEU",100,22.6,7.63,251,8.35,2,10
"229","C3A",2021-08-12 07:30:00,"EMP",NA,24,7.98,159,7.6,1,0.2
"230","C9",2021-08-12 09:30:00,"EMP",NA,25.74,5.83,632,7.14,2,4
"231","C10A",2021-08-12 11:00:00,"EMP",NA,18.08,9.29,84,7.33,1,1
"232","D12",2021-08-13 07:45:00,"EMP",96,21.46,8.39,6512,7.93,2,3.8
"233","D16",2021-08-13 10:10:00,"EMP",112,22.78,8.52,1382,8.13,3,2.8
"234","D19",2021-08-13 11:30:00,"EMP",148,23.01,8.94,711,9.03,3,1.3
"235","D28A",2021-08-13 12:15:00,"EMP",104,24.5,7.1,651,7.74,2,3.4
"236","D26",2021-08-16 10:45:00,"EMP",96,23.89,8.19,462,8.01,3,5.5
"237","MD10A",2021-08-16 12:00:00,"EMP",196,26.16,6.62,412,7.19,2,0.7
"238","P8",2021-08-16 13:30:00,"EMP",148,25.79,7.79,278,7.2,2,2.3
"239","LIS",2021-08-16 10:50:00,"AEU",42,25.4,7.67,290,7.92,2,13.8
"240","D4",2021-08-17 12:30:00,"EMP",60,21.56,8.18,10609,7.86,1,8.3
